iter	Passed	Remaining
0	62	62897
1	63	31894
2	64	21458
3	65	16222
4	65	13082
5	66	10981
6	66	9482
7	67	8382
8	68	7508
9	68	6822
10	69	6242
11	69	5762
12	70	5357
13	71	5012
14	71	4720
15	72	4464
16	73	4235
17	73	4027
18	74	3839
19	74	3674
20	75	3524
21	76	3389
22	77	3280
23	77	3171
24	78	3068
25	79	2973
26	80	2885
27	80	2799
28	81	2720
29	81	2647
30	82	2577
31	82	2510
32	83	2452
33	84	2392
34	84	2336
35	85	2286
36	85	2236
37	86	2191
38	87	2149
39	87	2109
40	88	2070
41	89	2034
42	89	1998
43	90	1962
44	90	1929
45	91	1898
46	92	1876
47	93	1851
48	94	1826
49	94	1800
50	95	1775
51	96	1750
52	96	1726
53	97	1703
54	97	1680
55	98	1659
56	99	1639
57	99	1622
58	100	1602
59	100	1582
60	101	1564
61	102	1545
62	102	1527
63	103	1516
64	104	1500
65	105	1488
66	105	1473
67	106	1458
68	106	1443
69	107	1429
70	108	1417
71	109	1412
72	110	1400
73	111	1389
74	111	1377
75	112	1367
76	113	1355
77	113	1344
78	114	1333
79	114	1321
80	115	1311
81	116	1300
82	116	1285
83	116	1275
84	117	1264
85	118	1255
86	118	1244
87	119	1239
88	120	1229
89	120	1221
90	121	1212
91	122	1205
92	123	1207
93	124	1198
94	125	1191
95	125	1183
96	126	1177
97	127	1169
98	127	1161
99	128	1154
100	128	1146
101	129	1138
102	129	1131
103	130	1124
104	131	1117
105	131	1110
106	132	1102
107	132	1096
108	133	1090
109	133	1084
110	134	1078
111	135	1072
112	135	1065
113	136	1060
114	137	1054
115	137	1050
116	138	1045
117	139	1042
118	140	1037
119	140	1031
120	141	1027
121	141	1021
122	142	1016
123	143	1011
124	143	1005
125	144	1000
126	144	994
127	145	989
128	145	984
129	146	979
130	146	974
131	147	969
132	148	964
133	148	959
134	149	955
135	149	950
136	150	947
137	150	942
138	151	939
139	152	934
140	152	930
141	153	925
142	153	921
143	154	917
144	154	913
145	155	911
146	156	908
147	157	904
148	157	900
149	158	897
150	158	893
151	160	894
152	160	890
153	161	886
154	161	883
155	162	879
156	163	876
157	163	873
158	164	869
159	165	867
160	165	862
161	166	859
162	166	856
163	167	852
164	167	849
165	168	846
166	169	843
167	169	840
168	170	839
169	171	837
170	172	835
171	173	834
172	174	833
173	175	830
174	176	831
175	176	828
176	177	825
177	177	821
178	178	819
179	179	815
180	179	812
181	180	810
182	180	806
183	181	803
184	181	801
185	182	799
186	183	797
187	184	795
188	184	792
189	185	790
190	186	787
191	186	785
192	187	783
193	188	781
194	188	779
195	189	777
196	190	774
197	190	771
198	191	771
199	192	769
200	192	766
201	193	764
202	194	761
203	194	759
204	195	756
205	195	754
206	196	751
207	196	748
208	197	747
209	197	744
210	198	741
211	199	739
212	200	740
213	200	738
214	201	735
215	202	733
216	202	731
217	203	728
218	203	726
219	204	724
220	205	724
221	206	722
222	206	720
223	207	717
224	207	715
225	208	713
226	208	711
227	209	709
228	210	707
229	210	705
230	211	703
231	211	701
232	212	699
233	213	697
234	213	695
235	214	693
236	214	691
237	215	689
238	215	687
239	216	685
240	216	683
241	217	681
242	217	679
243	218	677
244	219	675
245	219	673
246	220	671
247	220	669
248	221	667
249	221	665
250	222	663
251	222	661
252	223	659
253	224	658
254	224	656
255	225	654
256	225	652
257	226	650
258	226	648
259	227	646
260	227	644
261	228	643
262	228	641
263	229	639
264	229	637
265	230	635
266	231	634
267	231	632
268	232	630
269	232	628
270	233	627
271	233	625
272	234	623
273	234	622
274	235	620
275	235	618
276	236	617
277	237	616
278	237	614
279	238	613
280	238	611
281	239	609
282	240	608
283	240	606
284	240	604
285	241	602
286	242	601
287	242	599
288	243	598
289	243	596
290	244	595
291	244	593
292	245	592
293	245	590
294	246	589
295	246	587
296	247	585
297	248	584
298	248	582
299	249	581
300	249	580
301	250	578
302	251	577
303	251	576
304	252	574
305	252	573
306	253	571
307	253	570
308	254	569
309	255	567
310	255	566
311	256	564
312	256	563
313	257	562
314	257	560
315	258	559
316	259	558
317	259	556
318	260	555
319	260	554
320	261	552
321	262	551
322	262	550
323	263	549
324	263	547
325	264	546
326	264	545
327	265	543
328	266	542
329	266	541
330	267	539
331	267	538
332	268	537
333	268	535
334	269	534
335	269	532
336	270	531
337	270	530
338	271	528
339	271	527
340	272	525
341	272	524
342	273	523
343	273	521
344	274	520
345	275	519
346	275	518
347	276	517
348	276	516
349	277	515
350	278	514
351	278	512
352	279	511
353	279	510
